m_a_eV,dipole_cann1_D_0.15mm_GeVinv,dipole_cann1_D_1mm_GeVinv
9.999999999999999547e-07,1.301621810806243407e-08,1.218994992439810828e-09
1.011591112223829652e-06,1.286810037361624095e-08,1.205168589607768750e-09
1.023316578330244814e-06,1.272167985198542311e-08,1.191500625926566222e-09
1.035177955630176236e-06,1.257693709641156364e-08,1.177989286093983586e-09
1.047176819485520330e-06,1.243385288296400862e-08,1.164632775609663539e-09
1.059314763518370023e-06,1.229240820799327580e-08,1.151429320536885603e-09
1.071593399822671139e-06,1.215258428560133775e-08,1.138377167266855214e-09
1.084014359178330942e-06,1.201436254514953350e-08,1.125474582285873685e-09
1.096579291267809966e-06,1.187772462879495662e-08,1.112719851945046362e-09
1.109289864895222755e-06,1.174265238904709608e-08,1.100111282232752951e-09
1.122147768207980129e-06,1.160912788635825579e-08,1.087647198549614689e-09
1.135154708920999016e-06,1.147713338674551791e-08,1.075325945486058232e-09
1.148312414543511196e-06,1.134665135943011656e-08,1.063145886602524883e-09
1.161622632608501865e-06,1.121766447451266333e-08,1.051105404212072422e-09
1.175087130904807464e-06,1.109015560066831430e-08,1.039202899165550107e-09
1.188707697711903258e-06,1.096410780287383826e-08,1.027436790639164415e-09
1.202486142037412225e-06,1.083950434016070129e-08,1.015805515924590443e-09
1.216424293857368064e-06,1.071632866338525917e-08,1.004307530221393420e-09
1.230524004359261563e-06,1.059456441303374762e-08,9.929413064318279353e-10
1.244787146187906095e-06,1.047419541705373232e-08,9.817053349580442786e-10
1.259215613694150849e-06,1.035520568870008928e-08,9.705981235016106694e-10
1.273811323186478410e-06,1.023757942441409220e-08,9.596181968652965874e-10
1.288576213185518045e-06,1.012130100172427463e-08,9.487640967570921787e-10
1.303512244681508989e-06,1.000635497717381309e-08,9.380343815966502674e-10
1.318621401394748467e-06,9.892726084265740983e-09,9.274276263236977805e-10
1.333905690039058748e-06,9.780399231436665422e-09,9.169424222088407236e-10
1.349367140588306489e-06,9.669359500053183619e-09,9.065773766664502391e-10
1.365007806546013744e-06,9.559592142431615790e-09,8.963311130696886851e-10
1.380829765218092407e-06,9.451082579874447130e-09,8.862022705677044770e-10
1.396835117988739787e-06,9.343816400740531985e-09,8.761895039048552807e-10
1.413025990599533632e-06,9.237779358524812263e-09,8.662914832420737063e-10
1.429404533431761129e-06,9.132957369971705393e-09,8.565068939802332277e-10
1.445972921792019565e-06,9.029336513200706445e-09,8.468344365855399719e-10
1.462733356201129952e-06,8.926903025858633730e-09,8.372728264169373478e-10
1.479688062686396214e-06,8.825643303292216427e-09,8.278207935555178294e-10
1.496839293077255471e-06,8.725543896741082139e-09,8.184770826358138863e-10
1.514189325304352035e-06,8.626591511550636490e-09,8.092404526791130254e-10
1.531740463702079791e-06,8.528773005407571072e-09,8.001096769286005915e-10
1.549495039314631713e-06,8.432075386594542129e-09,7.910835426864471657e-10
