m_a_eV,squid_GeVinv
9.999999999999999547e-07,1.855199763509427601e-12
1.011591112223829652e-06,1.834088563340929957e-12
1.023316578330244814e-06,1.813219266679854304e-12
1.035177955630176236e-06,1.792589101782417936e-12
1.047176819485520330e-06,1.772195328664447867e-12
1.059314763518370023e-06,1.752035238738416960e-12
1.071593399822671139e-06,1.732106154452882043e-12
1.084014359178330942e-06,1.712405428937287380e-12
1.096579291267809966e-06,1.692930445650827717e-12
1.109289864895222755e-06,1.673678618034194131e-12
1.122147768207980129e-06,1.654647389166139793e-12
1.135154708920999016e-06,1.635834231424535843e-12
1.148312414543511196e-06,1.617236646149914666e-12
1.161622632608501865e-06,1.598852163314116404e-12
1.175087130904807464e-06,1.580678341191785566e-12
1.188707697711903258e-06,1.562712766036406834e-12
1.202486142037412225e-06,1.544953051760055095e-12
1.216424293857368064e-06,1.527396839615579168e-12
1.230524004359261563e-06,1.510041797883748800e-12
1.244787146187906095e-06,1.492885621564171850e-12
1.259215613694150849e-06,1.475926032068280226e-12
1.273811323186478410e-06,1.459160776917038586e-12
1.288576213185518045e-06,1.442587629441753152e-12
1.303512244681508989e-06,1.426204388488662818e-12
1.318621401394748467e-06,1.410008878126069948e-12
1.333905690039058748e-06,1.393998947355535406e-12
1.349367140588306489e-06,1.378172469826306960e-12
1.365007806546013744e-06,1.362527343553073189e-12
1.380829765218092407e-06,1.347061490636097336e-12
1.396835117988739787e-06,1.331772856986163807e-12
1.413025990599533632e-06,1.316659412050880136e-12
1.429404533431761129e-06,1.301719148545779875e-12
1.445972921792019565e-06,1.286950082187163252e-12
1.462733356201129952e-06,1.272350251428738089e-12
1.479688062686396214e-06,1.257917717201158881e-12
1.496839293077255471e-06,1.243650562654473130e-12
1.514189325304352035e-06,1.229546892903403232e-12
1.531740463702079791e-06,1.215604834775854082e-12
1.549495039314631713e-06,1.201822536564153253e-12
1.567455410205595074e-06,1.188198167778705056e-12
1.585623961771137209e-06,1.174729918905459405e-12
1.604003107056819987e-06,1.161416001165164900e-12
1.622595287078087214e-06,1.148254646276092798e-12
1.641402971144466496e-06,1.135244106218788134e-12
1.660428657187529599e-06,1.122382653004363832e-12
1.679674872092653225e-06,1.109668578444514408e-12
1.699144172034625966e-06,1.097100193925270354e-12
1.718839142817145670e-06,1.084675830182002590e-12
1.738762400216250434e-06,1.072393837078245558e-12
1.758916590327732554e-06,1.060252583386380660e-12
1.779304389918577576e-06,1.048250456570886667e-12
1.799928506782476310e-06,1.036385862574281086e-12
1.820791680099462520e-06,1.024657225605400900e-12
1.841896680799710828e-06,1.013062987930066099e-12
1.863246311931559606e-06,1.001601609664264528e-12
1.884843409033795304e-06,9.902715685694557921e-13
1.906690840512251975e-06,9.790713598505879219e-13
