m_a_eV,MQM_Np_D_0.15mm_GeVinv,MQM_Eu_D_0.15mm_GeVinv,MQM_Np_D_1mm_GeVinv,MQM_Eu_D_1mm_GeVinv
9.999999999999999547e-07,4.377471255365547334e-09,6.776714962741036698e-09,4.099589831346284912e-10,6.346529795514423023e-10
1.011591112223829652e-06,4.352666851516207022e-09,6.738315538758145823e-09,4.076512630589707346e-10,6.310804235586737519e-10
1.023316578330244814e-06,4.328006982840022081e-09,6.700139868082457227e-09,4.053570824818099517e-10,6.275288279141749180e-10
1.035177955630176236e-06,4.303490830758261754e-09,6.662186683481266353e-09,4.030763653006854333e-10,6.239980748045656789e-10
1.047176819485520330e-06,4.279117581466446861e-09,6.624454725112832469e-09,4.008090358614067892e-10,6.204880471104284676e-10
1.059314763518370023e-06,4.254886425909645220e-09,6.586942740488145551e-09,3.985550189556021842e-10,6.169986284025123399e-10
1.071593399822671139e-06,4.230796559753703136e-09,6.549649484426372684e-09,3.963142398182066565e-10,6.135297029378452252e-10
1.084014359178330942e-06,4.206847183359601974e-09,6.512573719015169110e-09,3.940866241250275183e-10,6.100811556559640512e-10
1.096579291267809966e-06,4.183037501757979339e-09,6.475714213571233288e-09,3.918720979902814251e-10,6.066528721751026817e-10
1.109289864895222755e-06,4.159366724620993360e-09,6.439069744596752530e-09,3.896705879641869185e-10,6.032447387884648479e-10
1.122147768207980129e-06,4.135834066236369066e-09,6.402639095739221049e-09,3.874820210305357207e-10,5.998566424604636820e-10
1.135154708920999016e-06,4.112438745483009796e-09,6.366421057753688260e-09,3.853063246042824851e-10,5.964884708229914423e-10
1.148312414543511196e-06,4.089179985803256039e-09,6.330414428459802466e-09,3.831434265291861940e-10,5.931401121717670978e-10
1.161622632608501865e-06,4.066057015178437290e-09,6.294618012703978924e-09,3.809932550754185212e-10,5.898114554626349013e-10
1.175087130904807464e-06,4.043069066102173964e-09,6.259030622318058189e-09,3.788557389372190337e-10,5.865023903079335837e-10
1.188707697711903258e-06,4.020215375555812612e-09,6.223651076081277304e-09,3.767308072305366921e-10,5.832128069728455926e-10
1.202486142037412225e-06,3.997495184984016653e-09,6.188478199682490817e-09,3.746183894907277048e-10,5.799425963718332875e-10
