m_a_eV,MQM_squid_GeVinv
9.999999999999999547e-07,2.013475899635479493e-13
1.011591112223829652e-06,2.002066785459285434e-13
1.023316578330244814e-06,1.990724152150884966e-13
1.035177955630176236e-06,1.979447623194146284e-13
1.047176819485520330e-06,1.968236824268916062e-13
1.059314763518370023e-06,1.957091383239660617e-13
1.071593399822671139e-06,1.946010930142229200e-13
1.084014359178330942e-06,1.934995097172060461e-13
1.096579291267809966e-06,1.924043518672464399e-13
1.109289864895222755e-06,1.913155831121678726e-13
1.122147768207980129e-06,1.902331673120933718e-13
1.135154708920999016e-06,1.891570685383232473e-13
1.148312414543511196e-06,1.880872510720589784e-13
1.161622632608501865e-06,1.870236794032790436e-13
1.175087130904807464e-06,1.859663182295107457e-13
1.188707697711903258e-06,1.849151324547001342e-13
1.202486142037412225e-06,1.838700871880895761e-13
1.216424293857368064e-06,1.828311477429555783e-13
1.230524004359261563e-06,1.817982796355095824e-13
1.244787146187906095e-06,1.807714485838295572e-13
1.259215613694150849e-06,1.797506205066205147e-13
1.273811323186478410e-06,1.787357615221266650e-13
1.288576213185518045e-06,1.777268379470067905e-13
1.303512244681508989e-06,1.767238162952597799e-13
1.318621401394748467e-06,1.757266632770524692e-13
1.333905690039058748e-06,1.747353457976413127e-13
1.349367140588306489e-06,1.737498309562914545e-13
1.365007806546013744e-06,1.727700860452098099e-13
1.380829765218092407e-06,1.717960785483755317e-13
1.396835117988739787e-06,1.708277761405813360e-13
1.413025990599533632e-06,1.698651466862521544e-13
1.429404533431761129e-06,1.689081582384833046e-13
1.445972921792019565e-06,1.679567790379122803e-13
1.462733356201129952e-06,1.670109775116919193e-13
1.479688062686396214e-06,1.660707222724548629e-13
1.496839293077255471e-06,1.651359821172739504e-13
1.514189325304352035e-06,1.642067260266134763e-13
1.531740463702079791e-06,1.632829231633273997e-13
1.549495039314631713e-06,1.623645428716438722e-13
1.567455410205595074e-06,1.614515546760969815e-13
1.585623961771137209e-06,1.605439282805986723e-13
1.604003107056819987e-06,1.596416335673817734e-13
1.622595287078087214e-06,1.587446405960459686e-13
1.641402971144466496e-06,1.578529196025152882e-13
1.660428657187529599e-06,1.569664409981175531e-13
1.679674872092653225e-06,1.560851753685409322e-13
1.699144172034625966e-06,1.552090934729501406e-13
