m_a_eV,SM_Np_D_0.15mm_GeVinv,SM_Eu_D_0.15mm_GeVinv,SM_Np_D_1mm_GeVinv,SM_Eu_D_1mm_GeVinv
9.999999999999999547e-07,7.289786009883521100e-09,4.718594765173673897e-08,6.827031145476543695e-10,4.419058855918044962e-09
1.011591112223829652e-06,7.248479331754502077e-09,4.691857426804337895e-08,6.788600772000905260e-10,4.394183316518129335e-09
1.023316578330244814e-06,7.207413347492268657e-09,4.665275886810741472e-08,6.750395871271896466e-10,4.369453723037679837e-09
1.035177955630176236e-06,7.166586693920819252e-09,4.638849262824713901e-08,6.712415175958170226e-10,4.344869255147673867e-09
1.047176819485520330e-06,7.125998015814685583e-09,4.612576677624371428e-08,6.674657426193415648e-10,4.320429097351113178e-09
1.059314763518370023e-06,7.085645965857813537e-09,4.586457259107509193e-08,6.637121369535509788e-10,4.296132438956597935e-09
1.071593399822671139e-06,7.045529204595636318e-09,4.560490140260564746e-08,6.599805760924708840e-10,4.271978474051253922e-09
1.084014359178330942e-06,7.005646400392373731e-09,4.534674459130994190e-08,6.562709362643099742e-10,4.247966401474491063e-09
1.096579291267809966e-06,6.965996229388612707e-09,4.509009358799801180e-08,6.525830944273575120e-10,4.224095424791444309e-09
1.109289864895222755e-06,6.926577375454444210e-09,4.483493987351211159e-08,6.489169282659759490e-10,4.200364752267041522e-09
1.122147768207980129e-06,6.887388530146246361e-09,4.458127497844694783e-08,6.452723161865547714e-10,4.176773596839805016e-09
1.135154708920999016e-06,6.848428392666067387e-09,4.432909048288676156e-08,6.416491373134979511e-10,4.153321176095883873e-09
1.148312414543511196e-06,6.809695669815429238e-09,4.407837801610631239e-08,6.380472714852950437e-10,4.130006712243621445e-09
1.161622632608501865e-06,6.771189075954614587e-09,4.382912925630737187e-08,6.344665992505398652e-10,4.106829432087782067e-09
1.175087130904807464e-06,6.732907332958207523e-09,4.358133593033091757e-08,6.309070018640241318e-10,4.083788567004271586e-09
1.188707697711903258e-06,6.694849170174186163e-09,4.333498981339232939e-08,6.273683612828109364e-10,4.060883352914714791e-09
1.202486142037412225e-06,6.657013324383274169e-09,4.309008272881829320e-08,6.238505601624005601e-10,4.038113030261641654e-09
1.216424293857368064e-06,6.619398539753247290e-09,4.284660654775105401e-08,6.203534818528628856e-10,4.015476843983451876e-09
1.230524004359261563e-06,6.582003567799136052e-09,4.260455318889079879e-08,6.168770103949916279e-10,3.992974043489519235e-09
1.244787146187906095e-06,6.544827167344549268e-09,4.236391461824525903e-08,6.134210305165178115e-10,3.970603882635684707e-09
1.259215613694150849e-06,6.507868104476787916e-09,4.212468284883928428e-08,6.099854276283410323e-10,3.948365619699863733e-09
